model,cv_accuracy,cv_tpr,cv_fpr,cv_precision,cv_f1_score,test_accuracy,test_tpr,test_fpr,test_precision,test_f1_score,training_time
MLP,0.5975881761223606,0.3610837438423645,0.00040816326530612246,0.52,0.39831932773109247,0.995125348189415,0.7,0.003843466107617051,0.3888888888888889,0.5,1.0406520366668701
RandomForest,0.5963026544294697,0.07282430213464695,0.0,0.6,0.12925407925407925,0.9958217270194986,0.0,0.0006988120195667365,0.0,0.0,0.33354997634887695
AdaBoost,0.5967293088985909,0.2644499178981937,0.0006614813757670901,0.44333333333333336,0.307531454899876,0.996866295264624,0.7,0.0020964360587002098,0.5384615384615384,0.608695652173913,11.996267080307007
KNN,0.7971271924545154,0.32257799671592774,0.00019489132700433934,0.5714285714285714,0.3776205218929677,0.9947771587743732,0.1,0.0020964360587002098,0.14285714285714285,0.11764705882352941,0.09606480598449707
